Name	pKd	Kcal/mol
tensor(0)	6.1033	-8.3209
tensor(1)	5.6892	-7.7563
tensor(2)	5.7402	-7.8259
tensor(3)	5.1602	-7.0351
tensor(4)	5.4927	-7.4885
tensor(5)	6.4294	-8.7655
tensor(6)	5.4327	-7.4067
tensor(7)	5.3383	-7.278
tensor(8)	5.5388	-7.5513
tensor(9)	5.498	-7.4957
tensor(10)	4.7832	-6.5212
tensor(11)	7.4962	-10.22
tensor(12)	6.6886	-9.1189
tensor(13)	5.3562	-7.3023
tensor(14)	5.2804	-7.1991
tensor(15)	5.9151	-8.0643
tensor(16)	5.319	-7.2516
tensor(17)	6.7086	-9.1462
tensor(18)	5.6643	-7.7223
tensor(19)	6.4004	-8.726
tensor(20)	6.2456	-8.5149
tensor(21)	6.094	-8.3082
tensor(22)	5.874	-8.0083
tensor(23)	7.0524	-9.6149
tensor(24)	6.3548	-8.6637
tensor(25)	6.0417	-8.2369
tensor(26)	6.7075	-9.1446
tensor(27)	6.3444	-8.6496
tensor(28)	6.5688	-8.9555
tensor(29)	5.6981	-7.7685
tensor(30)	5.3893	-7.3474
tensor(31)	5.9448	-8.1048
tensor(32)	6.6021	-9.0009
tensor(33)	5.517	-7.5216
tensor(34)	6.3193	-8.6153
tensor(35)	5.6262	-7.6704
tensor(36)	4.8987	-6.6787
tensor(37)	5.5991	-7.6335
tensor(38)	6.5594	-8.9427
tensor(39)	6.2664	-8.5432
tensor(40)	5.5006	-7.4992
tensor(41)	4.3357	-5.9111
tensor(42)	6.3263	-8.625
tensor(43)	7.0964	-9.6748
tensor(44)	6.6296	-9.0384
tensor(45)	5.1367	-7.0032
tensor(46)	5.3194	-7.2522
tensor(47)	5.8294	-7.9475
tensor(48)	5.6701	-7.7303
tensor(49)	5.9356	-8.0923
tensor(50)	6.6338	-9.0441
tensor(51)	7.1959	-9.8104
tensor(52)	6.0157	-8.2015
tensor(53)	5.4805	-7.4718
tensor(54)	6.6295	-9.0382
tensor(55)	7.3343	-9.9992
tensor(56)	6.3466	-8.6527
tensor(57)	6.0491	-8.247
tensor(58)	5.3532	-7.2982
tensor(59)	6.4984	-8.8596
tensor(60)	6.7066	-9.1434
tensor(61)	6.508	-8.8727
tensor(62)	6.8385	-9.3232
tensor(63)	6.5123	-8.8785
tensor(64)	5.7053	-7.7783
tensor(65)	6.5793	-8.9698
tensor(66)	6.5206	-8.8899
tensor(67)	6.0204	-8.2079
tensor(68)	5.6074	-7.6448
tensor(69)	5.6883	-7.7551
tensor(70)	6.0301	-8.2211
tensor(71)	5.7727	-7.8701
tensor(72)	6.2643	-8.5404
tensor(73)	5.9541	-8.1175
tensor(74)	5.401	-7.3634
tensor(75)	6.4083	-8.7368
tensor(76)	6.0025	-8.1834
tensor(77)	6.9337	-9.453
tensor(78)	5.6263	-7.6706
tensor(79)	6.064	-8.2673
tensor(80)	6.248	-8.5182
tensor(81)	6.8903	-9.3938
tensor(82)	6.0349	-8.2277
tensor(83)	7.4665	-10.1794
tensor(84)	6.6884	-9.1186
tensor(85)	6.3176	-8.6131
tensor(86)	7.0079	-9.5542
tensor(87)	5.0235	-6.8488
tensor(88)	5.7808	-7.8812
tensor(89)	6.1716	-8.414
tensor(90)	5.7131	-7.789
tensor(91)	5.4545	-7.4364
tensor(92)	5.6694	-7.7293
tensor(93)	4.6552	-6.3467
tensor(94)	6.4352	-8.7735
tensor(95)	6.0601	-8.2621
tensor(96)	6.1579	-8.3953
tensor(97)	6.5093	-8.8744
tensor(98)	5.841	-7.9633
tensor(99)	5.84	-7.962
tensor(100)	6.0355	-8.2284
tensor(101)	5.8174	-7.9312
tensor(102)	5.7259	-7.8064
tensor(103)	5.4739	-7.4628
tensor(104)	5.1124	-6.97
tensor(105)	5.4566	-7.4392
tensor(106)	6.0036	-8.185
tensor(107)	5.805	-7.9142
tensor(108)	6.4647	-8.8137
tensor(109)	6.0509	-8.2494
tensor(110)	5.8648	-7.9957
tensor(111)	5.6517	-7.7052
tensor(112)	6.3041	-8.5947
tensor(113)	6.57	-8.9572
tensor(114)	5.7457	-7.8333
tensor(115)	6.7559	-9.2107
tensor(116)	6.7927	-9.2609
tensor(117)	4.8718	-6.642
tensor(118)	5.726	-7.8065
tensor(119)	6.7028	-9.1383
tensor(120)	5.9168	-8.0666
tensor(121)	5.8724	-8.0061
tensor(122)	5.2887	-7.2103
tensor(123)	6.0931	-8.3069
tensor(124)	6.3426	-8.6471
tensor(125)	6.3804	-8.6987
tensor(126)	5.2277	-7.1272
tensor(127)	5.5594	-7.5793
tensor(128)	6.5432	-8.9207
tensor(129)	5.9183	-8.0687
tensor(130)	5.3243	-7.2589
tensor(131)	5.7099	-7.7845
tensor(132)	7.4039	-10.0941
tensor(133)	5.8449	-7.9686
tensor(134)	6.9168	-9.4299
tensor(135)	6.4211	-8.7542
tensor(136)	5.9685	-8.1371
tensor(137)	6.6316	-9.0412
tensor(138)	5.8113	-7.9228
tensor(139)	5.4028	-7.3659
tensor(140)	6.9618	-9.4914
tensor(141)	6.8561	-9.3472
tensor(142)	6.2308	-8.4948
tensor(143)	6.8896	-9.3929
tensor(144)	5.4294	-7.4021
tensor(145)	6.0011	-8.1816
tensor(146)	6.8096	-9.2838
tensor(147)	6.2494	-8.52
tensor(148)	5.9344	-8.0906
tensor(149)	6.6117	-9.014
tensor(150)	5.523	-7.5297
tensor(151)	5.9501	-8.112
